"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status",Comment,Date,"People Reached",Engagements,Shares,Likes,Comments,"Seconds Viewed","Average Seconds Viewed","Ad Impressions","Reels plays","60-Second Video Views",Impressions,"3-Second Video Views","Total clicks","Other Clicks","Photo Views","Link Clicks","Clicks to Play","Article Average Time Spent","Article Daily Scroll Depth","Unique negative feedback from users: Hide","Unique negative feedback from users: Hide all","Ad CPM (USD)","Estimated earnings (USD)"
801694291328348,151234121567343,Mercedes-AMG,,"It is Race Day in Spielberg.

The Shootout for todayâ€™s Sprint Race is done.

George and Lewis start from P15 and P18. Lights out at 4:30 PM CEST.ðŸš¦

#WorldsFastestFamily #WeLivePerformance #MercedesAMGF1",0,"07/01/2023 05:07",N/A,https://www.facebook.com/MercedesAMG/posts/pfbid0NbX6mL1tB9gftFhCRp9cPd5kRzzUy9nuV7bDGoCdcCzc6hxXWH6RBeUe8WUwq677l,0,0,Photo,,,,,Lifetime,74986,396,9,378,9,0,0,,,0,78214,0,613,294,319,,,0,0,3,3,,
818596326304811,151234121567343,Mercedes-AMG,,"Behold, the camouflaged marvel the all-new Mercedes-AMG GT taking the open roads by storm! 

ðŸ“¸ Dscvr.Twins  for #MBcreator 

 #MercedesAMG #AMGThrill",0,"07/31/2023 09:07",N/A,https://www.facebook.com/MercedesAMG/posts/pfbid0NhrWQKRurpxRoiMwNwuAd2ezMMkij4kGDUvYVCmdtd41WgbsRUfUnG5McnuHtJofl,0,0,Photo,,,,,Lifetime,173586,4219,116,4032,71,0,0,,,0,173586,0,2524,1260,1264,,,0,0,2,3,,
817942499703527,151234121567343,Mercedes-AMG,,"Stealth and style combine in the streets of Stuttgart! Behold the all-new camouflaged Mercedes-AMG GT prototype, draped in a stunning colorful wrap. Even undercover, this super sports car effortlessly stands out from the crowd.

ðŸ“¸ Dscvr.Twins

 #MercedesAMG #AMGThrill",0,"07/30/2023 06:07",N/A,https://www.facebook.com/MercedesAMG/posts/pfbid02Me3JGPMJyKtgq19HwaSffQw1fHvqiD9gdsztcmuVheeRXNmdND9AjKRmXch3TuNGl,0,0,Photo,,,,,Lifetime,346149,3061,112,2874,75,0,0,,,0,354035,0,16386,4414,11972,,,0,0,,4,,
817872633043847,151234121567343,Mercedes-AMG,,"Real friends always have your back. Happy International Friendship Day! Share this with your partner in drive! ðŸ™‚ 

ðŸ“¸ automotive_alex_ on Instagram 

#MercedesAMG #AMGSpirit #MyAMG",0,"07/30/2023 03:07",N/A,https://www.facebook.com/MercedesAMG/posts/pfbid0y8YQnTcKQDKNCwN4mZRn1uehiZGZK1sriLCBF3JGQ2JsJR2EK9q9BUyBVt5JEZZpl,0,0,Photo,,,,,Lifetime,134526,1190,65,1101,24,0,0,,,0,144222,0,3306,923,2383,,,0,0,1,,,
817274696436974,151234121567343,Mercedes-AMG,,"Catch a glimpse of the future in the Mercedes-AMG EQE 53 4MATIC+. 

Charged with emotion and equipped with two electric motors, weâ€™re positive this AMG will take you in the right direction.

#MercedesAMG #AMG #AMGFocus #AMGTrust #EQE

[Mercedes-AMG EQE 53 4MATIC+ | WLTP: Stromverbrauch kombiniert: 22,9â€’20,3 kWh/100 km | COâ‚‚-Emissionen kombiniert: 0 g/km | amg4.me/DAT-Leitfaden-electric]",0,"07/29/2023 03:07",N/A,https://www.facebook.com/MercedesAMG/posts/pfbid0jWdGPoFYLvzegjrWgMZw1myVw1qR2MGaRgHjAHVyy2qb9eA9qX3NpEJu3vmF6P2Pl,0,0,Photo,,,,,Lifetime,84557,2489,39,2424,26,0,0,,,0,86820,0,664,473,189,2,,0,0,1,2,,
816878833143227,151234121567343,Mercedes-AMG,,"The sophistication of personalisation â€“ an interactive experience by Krista Kim for the Mercedes-AMG SL.

#StepIntoTheSpotlight #KristaKim
#Manufaktur #BeBold #BeCreative
#3DBillboard #MercedesAMG #SL",0,"07/28/2023 09:07",N/A,https://www.facebook.com/MercedesAMG/posts/pfbid02xqqFBTsjmXz6uzJyCKT4KmP46KLH4FALF2a6RiEJgeZvgk6ZMFuiEguykGvpAXZ1l,0,0,Photo,,,,,Lifetime,95250,1922,34,1868,20,0,0,,,0,95387,0,1903,469,1434,,,0,0,1,1,,
816790516485392,151234121567343,Mercedes-AMG,,"Did someone say couple goals? We certainly think so.

ðŸ“¸ robin_k94 on Instagram

#MercedesAMG #AMGSpirit #AMGLife",0,"07/28/2023 06:07",N/A,https://www.facebook.com/MercedesAMG/posts/pfbid02soNGbV4BkhszPKYeK9PwbQHdWjqG1mufTfSgJ1D8PD9Amfqn8mYCmehGBmKEPsskl,0,0,Photo,,,,,Lifetime,194448,6423,83,6266,74,0,0,,,0,201853,0,2256,1385,870,1,,0,0,2,2,,
815810709916706,151234121567343,Mercedes-AMG,"2023-07 AMG SL Media Stunt Krista Kim Promo Video 9x16.mp4","Step into a digital adventure, where your unique style drives your personalised journey. By Krista Kim, for Mercedes-AMG.

#StepIntoTheSpotlight #KristaKim #Manufaktur #BeBold #BeCreative
#3DBillboard #MercedesAMG #SL",18,"07/26/2023 09:07",uploaded,https://www.facebook.com/MercedesAMG/posts/pfbid0HjkvZgSSpVTD6MzrTv5rmJuypv55p3bgHKxQAZsPQgcCr6jjWTaZgUTFbq9xhzyzl,0,0,Video,,,,,Lifetime,31382,586,29,541,16,68462.45,2.55,0,,0,31742,3746,252,240,,,12,0,0,1,2,0,0
815192883311822,151234121567343,Mercedes-AMG,,"Here's your ticket to a summer tailored to all your needs. Make this season yours and upgrade your ride with the MANUFAKTUR specifications for the Mercedes-AMG SL 63. 

Some specifications are only available from the final quarter of 2023. 

#MercedesAMG #AMG #AMGPremiere #AMGSpirit #SL63

[Mercedes-AMG SL 63 4MATIC+ | WLTP: Kraftstoffverbrauch kombiniert: 13,2â€’12,8 l/100 km | COâ‚‚-Emissionen kombiniert: 300â€’290 g/km | amg4.me/DAT-Leitfaden]",13,"07/25/2023 07:07",N/A,https://www.facebook.com/MercedesAMG/posts/pfbid028QWdv35EPXyktCnT3GFERJzdhEm8vFMnEgT6uEHJvLaE41cpJiwifMPYLxuq2wN8l,0,0,Video,,,,,Lifetime,23322,340,11,321,8,42590.12,2.14,0,,0,23690,2551,150,142,,4,4,0,0,2,1,0,0
814619363369174,151234121567343,Mercedes-AMG,,"Nature's perfect backdrop for a quick wheel rest.

ðŸ“¸ davidacedo on Instagram

#MercedesAMG #SL63 #AMGSpirit

[Mercedes-AMG SL 63 4MATIC+ | WLTP: Kraftstoffverbrauch kombiniert: 13,2â€’12,8 l/100 km | COâ‚‚-Emissionen kombiniert: 300â€’290 g/km | amg4.me/DAT-Leitfaden]",0,"07/24/2023 06:07",N/A,https://www.facebook.com/MercedesAMG/posts/pfbid0299RyMggfEozfLDih3BJUjjPN4CrYGLPkYxZf6TQxBU4L7NYi1YaLfwSK763BCyunl,0,0,Photo,,,,,Lifetime,83745,947,19,914,14,0,0,,,0,88109,0,628,270,356,2,,0,0,1,1,,
813959480101829,151234121567343,Mercedes-AMG,,"Impressive colours and even more flexible! Our Mercedes-AMG SL shows off its new MANUFAKTUR options for the exterior.

#MercedesAMG #stepintothespotlight #manufaktur #bebold #becreative #3DBillboard #SL",14,"07/23/2023 03:07",N/A,https://www.facebook.com/MercedesAMG/posts/pfbid02Wu8pu78vh9yyuPUGcceXLGpSAQSpvBKmXRitC4A7PdG8v5NqRifeu7eaMAt8aFiLl,0,0,Video,,,,,Lifetime,27308,310,11,295,4,59223.89,2.43,0,,0,28610,3693,209,200,,,9,0,0,1,,0,0
1015397762981248,151234121567343,Mercedes-AMG,,"Itâ€™s a match! Our Mercedes-AMG SL combines variety with driving pleasure.                      #MercedesAMG #stepintothespotlight #manufaktur #bebold #becreative #3DBillboard #SL",22,"07/22/2023 06:07",N/A,https://www.facebook.com/reel/1015397762981248/,0,0,"FB reel",,,,,Lifetime,32845,348,22,322,4,109401.81,3.75,0,29177,,,,,,,,,,,,,,
813434836820960,151234121567343,Mercedes-AMG,,,0,"07/22/2023 03:07",N/A,https://www.facebook.com/MercedesAMG/posts/pfbid0bgRMsffmR58u4C9Z4iUrQUvDiujdhGnWxyRoQwp91Gcf4juatD5jniVer2bdRdoCl,0,0,Photo,,,,,Lifetime,244386,1840,37,1771,32,0,0,,,0,254939,0,14075,3469,10606,,,0,0,1,3,,
813071543523956,151234121567343,Mercedes-AMG,,"Advanced technology for more dynamics and agility â€“The all-new Mercedes-AMG GLC 63 S E PERFORMANCE.

#MercedesAMG #AMGPremiere #GLC63SE #EPERFORMANCE #AMGThrill

[Mercedes-AMG GLC 63 S E PERFORMANCE | Kraftstoffverbrauch kombiniert: 7,5 l/100 km | COâ‚‚-Emissionen kombiniert: 170 g/km | Stromverbrauch kombiniert: 12,7 kWh/100 km | amg4.me/DAT-Leitfaden]",0,"07/21/2023 09:07",N/A,https://www.facebook.com/MercedesAMG/posts/pfbid02BciRbatyFyTVkS7AaQfX6Ya4QE4Wg4hi4WttRsJzHfq4pxRVUHSDgNWxQiHGrMAil,0,0,Photo,,,,,Lifetime,132252,1666,35,1601,30,0,0,,,0,132252,0,1608,835,741,32,,0,0,1,2,,
812998276864616,151234121567343,Mercedes-AMG,"2023-07 AMG SL Media Stunt Onsite Reveal Video 02 4x5.mp4","More than a billboard. This is an interactive Mercedes-AMG SL experience, adjusting to each and everyoneâ€™s personal style.

#MercedesAMG #stepintothespotlight #manufaktur #bebold #becreative #3DBillboard #SL",19,"07/21/2023 06:07",N/A,https://www.facebook.com/MercedesAMG/posts/pfbid02QmDiLcTR8st6SqSiGNBk2V9LX5HUjKvoQPufaBWFMUdkC3KbG1vmhhZr4MMepf8Vl,0,0,Video,,,,,Lifetime,20659,241,11,227,3,47450.97,2.68,0,,0,20659,3013,157,155,,,2,0,0,1,,0,0
812930026871441,151234121567343,Mercedes-AMG,,"Explore a new front design, the AMG radiator grille, 21 inch rims and the newly updated rear design of the advanced mild-hybrid SUV. The all-new Mercedes-AMG GLC 43 4MATIC.

#MercedesAMG #GLC434MATIC #TurboElectrified #AMGPremiere

[Mercedes-AMG GLC 43 4MATIC | Kraftstoffverbrauch kombiniert: 10,2â€’9,8 l/100 km | COâ‚‚-Emissionen kombiniert: 232â€’223 g/km | amg4.me/DAT-Leitfaden]",0,"07/21/2023 03:07",N/A,https://www.facebook.com/MercedesAMG/posts/pfbid0D6tA6iHKB2Jh4zmKFTn86d3xGNBQqnVosu9hr89whRNM7GC6rNAkhKpkWTkkiJ5Hl,0,0,Photo,,,,,Lifetime,144864,904,21,877,6,0,0,,,0,145529,0,3467,831,2630,6,,0,0,2,1,,
812566690241108,151234121567343,Mercedes-AMG,,"Always in control â€“ Steer your perfect Mercedes-AMG SL in a digital world built by Krista Kim.

#MercedesAMG #stepintothespotlight #manufaktur #bebold #becreative #3DBillboard #SL",18,"07/20/2023 09:07",N/A,https://www.facebook.com/MercedesAMG/posts/pfbid0NvrFXCbzVbZXEbzpwHhdoRe5srTx196VdY8oDEScjyyW3KumqaqD5yEKEPMLkp69l,0,0,Video,,,,,Lifetime,31976,404,16,379,9,74744.63,2.72,0,,0,32243,4637,212,204,,,8,0,0,1,,0,0
812440283587082,151234121567343,Mercedes-AMG,,"Innovative. Interactive. Impressive. Step into the spotlight with the Mercedes-AMG SL.

#MercedesAMG #stepintothespotlight #manufaktur #bebold #becreative #3DBillboard #SL",0,"07/20/2023 05:07",N/A,https://www.facebook.com/MercedesAMG/posts/pfbid02FaAYsPbTm9xF8J76W5rk2851rcUk9U5yAUP9sVqJG12rNPxJxJFuTQAa4Dc3bs6ml,0,0,Photo,,,,,Lifetime,159144,1359,29,1314,16,0,0,,,0,159783,0,3169,883,2285,1,,0,0,2,2,,
812374666926977,151234121567343,Mercedes-AMG,,"Going in the right direction. A driving force of electrified acceleration and maximum power. 

#MercedesAMG #AMG #AMGFocus #AMGTrust #EQE

[Mercedes-AMG EQE 53 4MATIC+ | WLTP: Stromverbrauch kombiniert: 22,9â€’20,3 kWh/100 km | COâ‚‚-Emissionen kombiniert: 0 g/km | amg4.me/DAT-Leitfaden-electric]",0,"07/20/2023 03:07",N/A,https://www.facebook.com/MercedesAMG/posts/pfbid0d8J1sKJgQKyLVNKicH7yFpEvvDJz2KQALGrGUxpKwJZxc66kb9M2Z6eSUW5EJmael,0,0,Photo,,,,,Lifetime,78732,559,17,536,6,0,0,,,0,79526,0,990,270,717,3,,0,0,1,2,,
960940831624983,151234121567343,Mercedes-AMG,,"Pushing the boundaries of innovation, individualisation and creativity â€“ by Krista Kim for Mercedes-AMG. More coming soon.

#StepIntoTheSpotlight #KristaKim #Manufaktur #BeBold #BeCreative #3DBillboard #MercedesAMG #SL",15,"07/19/2023 10:07",N/A,https://www.facebook.com/reel/960940831624983/,0,0,"FB reel",,,,,Lifetime,32827,545,45,489,11,75273.21,2.46,0,30663,,,,,,,,,,,,,,
811910566973387,151234121567343,Mercedes-AMG,,"Let your imagination run wild with the creation of a personalised Mercedes-AMG SL. More coming soon!

#MercedesAMG #stepintothespotlight #manufaktur #bebold #becreative #3DBillboard #SL",13,"07/19/2023 08:07",N/A,https://www.facebook.com/MercedesAMG/posts/pfbid025zHWxaMWXNWaEUU4Aue3CWSkmA85StzW6v6yXmmARsXBpgw1qmB3fMcWf4TYshQzl,0,0,Video,,,,,Lifetime,21443,250,10,236,4,40635.01,2.16,0,,0,21973,2413,265,229,,,36,0,0,3,1,0,0
